Name,City,State,Score,Rank
Indian Institute of Technology Madras,Chennai,Tamil Nadu,89.93,1
Indian Institute of Technology Delhi,New Delhi,Delhi,88.08,2
Indian Institute of Technology Bombay,Mumbai,Maharashtra,85.08,3
Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,82.18,4
Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,80.56,5
Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,76.29,6
Indian Institute of Technology Guwahati,Guwahati,Assam,74.90,7
Indian Institute of Technology Hyderabad,Hyderabad,Telangana,66.44,8
National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,64.10,9
Indian Institute of Technology Indore,Indore,Madhya Pradesh,62.88,10
Indian Institute of Technology (BHU) Varanasi,Varanasi,Uttar Pradesh,62.54,11
Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,62.06,12
National Institute of Technology Karnataka,Surathkal,Karnataka,61.30,13
Anna University,Chennai,Tamil Nadu,59.89,14
Vellore Institute of Technology,Vellore,Tamil Nadu,59.32,15
National Institute of Technology Rourkela,Rourkela,Odisha,59.29,16
Jadavpur University,Kolkata,West Bengal,59.23,17
Institute of Chemical Technology,Mumbai,Maharashtra,58.70,18
National Institute of Technology Warangal,Warangal,Telangana,57.76,19
Amrita School of Engineering,Amritapuri,Kerala,57.37,20
Indian Institute of Engineering Science and Technology,Shibpur,West Bengal,57.14,21
Indian Institute of Technology Bhubaneswar,Bhubaneswar,Odisha,56.80,22
National Institute of Technology Calicut,Kozhikode,Kerala,56.56,23
Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,56.15,24
Indian Institute of Technology Ropar,Rupnagar,Punjab,55.95,25
Indian Institute of Technology Patna,Patna,Bihar,55.74,26
Visvesvaraya National Institute of Technology,Nagpur,Maharashtra,54.76,27
Jamia Millia Islamia,New Delhi,Delhi,54.58,28
Thapar Institute of Engineering & Technology,Patiala,Punjab,54.45,29
Birla Institute of Technology & Science,Pilani,Rajasthan,54.39,30
Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,54.17,31
Amity University Noida,Gautam Budh Nagar,Uttar Pradesh,53.09,32
Indian Institute of Space Science and Technology,Thiruvananthapuram,Kerala,53.01,33
Siksha `O` Anusandhan,Bhubaneswar,Odisha,52.38,34
Malaviya National Institute of Technology,Jaipur,Rajasthan,52.25,35
Delhi Technological University,New Delhi,Delhi,51.99,36
Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,51.79,37
Birla Institute of Technology,Ranchi,Jharkhand,51.42,38
Aligarh Muslim University,Aligarh,Uttar Pradesh,51.39,39
National Institute of Technology Kurukshetra,Kurukshetra,Haryana,51.19,39
S. R. M. Institute of Science and Technology,Chennai,Tamil Nadu,50.95,41
Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50.07,42
International Institute of Information Technology Hyderabad,Hyderabad,Telangana,49.45,43
Sri Sivasubramaniya Nadar College of Engineering,Kancheepuram,Tamil Nadu,49.26,44
Manipal Institute of Technology,Manipal,Karnataka,49.06,45
National Institute of Technology Silchar,Silchar,Assam,48.66,46
National Institute of Technology Durgapur,Durgapur,West Bengal,48.39,47
